,src,to,weights,weight_rank
618,resp3007,resp4771,0.07636363636363636,8.0
619,resp3008,resp3781,0.20571428571428574,3.0
620,resp3010,resp4801,0.3,1.0
621,resp3014,resp2322,0.4363636363636363,3.0
622,resp302,resp1043,0.5760000000000001,1.0
623,resp302,resp2681,0.07200000000000001,4.0
624,resp3023,resp3549,0.48,2.0
625,resp3024,resp4789,0.3,3.0
626,resp3025,resp4169,0.04615384615384615,12.0
627,resp3028,resp169,0.6260869565217391,1.0
628,resp303,resp4169,0.14823529411764708,5.0
629,resp3030,resp573,0.5538461538461539,1.0
630,resp3032,resp2562,0.07764705882352943,10.0
631,resp3035,resp213,0.23294117647058826,3.0
632,resp3039,resp4801,0.27,2.0
633,resp304,resp3921,0.4666666666666666,3.0
634,resp3053,resp5884,0.4,4.0
