,index,src,to,to_hierarchy,src_hierarchy,clocent,weights,clo_rank,weight_rank,optimal
234,308,resp171,resp4417,TL,E,0.8116514075869395,0.5684210526315789,4.0,1.0,False
235,309,resp1711,resp4452,TL,E,0.7621674370492696,0.56,4.0,1.0,False
236,310,resp1716,resp1379,TL,E,0.7696549829855306,0.055000000000000014,5.0,7.0,False
237,312,resp1718,resp3180,MM,TL,0.7535062570700326,0.3692307692307693,2.0,2.0,True
238,313,resp1719,resp4771,TL,E,0.777098313625952,0.5333333333333333,5.0,1.0,False
239,314,resp172,resp4181,TL,E,0.78668291153361,0.43200000000000005,4.0,1.0,False
240,315,resp1720,resp1559,TL,E,0.7378848448177281,0.048,11.0,15.0,False
241,316,resp1725,resp2915,MM,TL,0.7427664066167852,0.48,2.0,1.0,False
242,317,resp173,resp2250,MM,TL,0.778278977667165,0.16875,1.0,4.0,False
243,318,resp1730,resp410,TL,E,0.7213567957941309,0.6171428571428571,9.0,2.0,False
244,319,resp1731,resp4033,MM,TL,0.7890029927854411,0.225,1.0,1.0,True
245,320,resp1736,resp1559,TL,E,0.7064651910367552,0.07200000000000001,15.0,13.0,False
246,321,resp1739,resp965,MM,TL,0.8496403787708408,0.18,4.0,4.0,True
247,323,resp1743,resp5970,TL,E,0.7900574430126195,0.4173913043478261,4.0,2.0,False
248,324,resp1745,resp5846,TL,E,0.7102301485106512,0.64,2.0,1.0,False
249,327,resp1761,resp3608,TL,E,0.7278264056374196,0.15,6.0,9.0,False
250,329,resp1763,resp3608,TL,E,0.7308445239478278,0.12,5.0,10.0,False
251,330,resp1771,resp1379,TL,E,0.7697272646330687,0.075,4.0,6.0,False
252,334,resp1778,resp11,MM,TL,0.741120889213574,0.054545454545454536,5.0,13.0,False
253,336,resp1780,resp1358,MM,TL,0.772664241855098,0.45,2.0,1.0,False
254,337,resp1783,resp2865,MM,TL,0.7891041901494995,0.28800000000000003,2.0,2.0,True
255,338,resp1785,resp2950,TL,E,0.6711477164930327,0.03692307692307692,21.0,21.0,True
256,339,resp179,resp3194,MM,TL,0.7426734327846718,0.6821052631578947,2.0,2.0,True
257,340,resp1790,resp3301,MM,TL,0.8031411968459496,0.5142857142857142,1.0,1.0,True
258,341,resp1796,resp4571,TM,MM,0.845869850230963,0.23142857142857146,14.0,6.0,False
259,342,resp1797,resp1332,TL,E,0.8228761510181383,0.05,1.0,1.0,True
260,343,resp1797,resp5408,TL,E,0.8228761510181383,0.4,1.0,1.0,True
261,344,resp1804,resp2831,MM,TL,0.7726297052991059,0.21333333333333326,3.0,3.0,True
262,347,resp1818,resp1944,MM,TL,0.8003611096026323,0.10285714285714287,4.0,5.0,False
263,348,resp1829,resp4643,TL,E,0.8336102434716146,0.5142857142857142,9.0,2.0,False
264,349,resp1830,resp2954,TL,E,0.7438449801527356,0.10285714285714287,16.0,15.0,False
265,350,resp1831,resp5123,TL,E,0.675629042437797,0.162,4.0,4.0,True
266,351,resp184,resp2954,TL,E,0.8581358929759098,0.12857142857142856,2.0,14.0,False
267,352,resp1841,resp1038,TM,MM,0.7163132244199367,0.6,2.0,2.0,True
268,353,resp1842,resp2373,TL,E,0.7915453101369372,0.4363636363636363,6.0,8.0,False
269,354,resp1844,resp5032,TL,E,0.6407873055283887,0.26181818181818184,3.0,2.0,False
270,355,resp1845,resp4417,TL,E,0.8196449387069796,0.18,3.0,6.0,False
271,356,resp1845,resp930,TL,E,0.8196449387069796,0.27,3.0,3.0,True
272,357,resp1846,resp5727,MM,TL,0.7696549829855306,0.36,4.0,4.0,True
273,358,resp1850,resp35,MM,TL,0.7059646778151063,0.048,9.0,11.0,False
274,359,resp1851,resp4166,TL,E,0.9196135667672276,0.08727272727272728,1.0,7.0,False
275,364,resp1855,resp2903,TL,E,0.6184576333811144,0.18,5.0,8.0,False
276,366,resp1861,resp5850,TL,E,0.7784637805777571,0.43200000000000005,3.0,1.0,False
277,367,resp1865,resp4643,TL,E,0.8407504655909028,0.24545454545454545,7.0,6.0,False
278,368,resp1871,resp5584,TL,E,0.6922636862885186,0.20210526315789476,9.0,7.0,False
279,369,resp1872,resp947,MM,TL,0.671780329807214,0.15428571428571428,6.0,4.0,False
280,370,resp1880,resp132,MM,TL,0.7377520062840736,0.29538461538461536,6.0,5.0,False
281,372,resp1888,resp28,TL,E,0.5963253439871481,0.12,2.0,2.0,True
282,375,resp1892,resp2072,TL,E,0.874805839877566,0.045,1.0,8.0,False
283,376,resp1892,resp573,TL,E,0.874805839877566,0.54,3.0,2.0,False
284,378,resp1894,resp4704,TL,E,0.74542592181156,0.52,2.0,1.0,False
285,379,resp1895,resp1908,TL,E,0.7735047106278704,0.28,4.0,2.0,False
286,380,resp1897,resp3921,TL,E,0.8322558807689799,0.6211764705882353,1.0,1.0,True
